openmlid,Name,AutoCorrelation,ClassEntropy,Dimensionality,EquivalentNumberOfAtts,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,NumberOfFeaturesAfterBinarization
3,kr-vs-kp,0.9990610328638496,0.9985755386554582,0.0115769712140175,52.14040169716265,1669.0,0.9956521852360184,,,0.19826687955488,3.0,,,0.5901482912442314,,,0.01915166562113,29.814462977732955,2.027027027027027,,,0.0040940303526419,,,1.18053e-09,2.0,,,47.778473091364205,1527.0,0.952041993860854,0.1210888610763454,0.7569708778154078,35,2,37,3196,0,0,0,37,94.5945945945946,0.0,0.0,0.0,100.0,0.2875600035503529,,,0.000777595577705,,,0.6794996247614244,,,0.00542648921343,,,0.9132329806576944,,,0.0184861208375775,,,74
6,letter,0.0409020451022551,4.69981072657316,0.00085,,813.0,,2.075245046157538,8.338849999999995,,26.0,1.1599750154235924,3.304555303560269,,0.6977379005298701,5.925465624999998,,,26.0,0.290297034101848,2.273771145446362,,-0.4211788221168451,3.046099999999995,,26.0,-0.3100790698726846,1.546722436319954,3.67,734.0,0.9559207236903552,0.36025,0.6253250509940796,0,26,17,20000,0,0,16,1,0.0,0.0,0.0,94.11764705882352,5.88235294117647,,0.3091324958538607,4.174812499999999,,-0.1373304281236529,2.017438812826727,,0.8853044390128566,5.913225000000001,,0.2543345879398813,2.2933721022270195,,1.1728389823381402,7.726012499999999,,0.653378002627639,2.547423135491912,16
12,mfeat-factors,0.9954977488744372,3.321928094887362,0.1085,,200.0,,1.701286299993246,1141.5704999999996,,10.0,0.8630705307139119,153.51158138902838,,-0.315188200704828,318.2703888888889,,,10.0,0.0275605169037823,49.58131318395632,,-1.3893209589478623,6.7674999999999965,,10.0,-1.0738237890694695,1.9854850353031408,10.0,200.0,0.9919075,0.0765,0.915,0,10,217,2000,0,0,216,1,0.0,0.0,0.0,99.53917050691244,0.4608294930875576,,-0.6970467475463484,14.118125000000006,,-0.2190263674003187,5.542689317909613,,-0.4026911656287315,146.4797499999999,,-0.0141193612982667,30.29006567694612,,0.0113863053599739,684.5027499999998,,0.3665125978251142,91.59687126428516,216
14,mfeat-fourier,0.9954977488744372,3.321928094887362,0.0385,,200.0,,1.994922620258805,0.37731057175,,10.0,1.029985534649324,0.1762306706319309,,0.119006280823268,0.1320320840176973,,,10.0,0.5447006835842777,0.0671079516668835,,-1.1252793103314485,0.07169202572,,10.0,-0.1206246202987204,0.0375554989173361,10.0,200.0,0.9626375,0.2465,0.726111111111111,0,10,77,2000,0,0,76,1,0.0,0.0,0.0,98.7012987012987,1.2987012987012987,,-0.1789014880019493,0.0863261346625,,0.4089907636277701,0.0427043054029094,,0.0630230135811373,0.1064998764125,,0.5542281675523084,0.0527592975357217,,0.4381040236923678,0.15576810663375,,0.7107847694791952,0.0863352011429344,76
16,mfeat-karhunen,0.9954977488744372,3.321928094887362,0.0325,,200.0,,0.580942601366925,2.891171124290001,,10.0,0.4187220480956684,7.691305182325387,,-0.045654845752496,0.0530847392466406,,,10.0,-0.0042856626077367,2.152662828702679,,-0.944709265915264,-1.81970727405,,10.0,-0.3391130927319128,0.8923441138647591,10.0,200.0,0.9956313888888888,0.068,0.9244444444444444,0,10,65,2000,0,0,64,1,0.0,0.0,0.0,98.46153846153848,1.5384615384615383,,-0.1495295371103432,-0.2984167951874998,,-0.1042020102509707,1.1438482801014436,,-0.0173458857878905,0.0044830878174998,,-0.0208159084694649,1.6476505065816718,,0.0716549405747803,0.332461138865,,0.0591765364965291,2.6614803695239697,64
18,mfeat-morphological,0.9954977488744372,3.321928094887362,0.0035,,200.0,,0.0794938700561878,6155.200435156556,,10.0,1.0084830014756712,3757.634467006599,,-0.536236922624337,1052.6997316402776,,,10.0,0.5315671843447396,630.90708251402,,-1.0383559313284294,0.492499999999995,,10.0,-0.0628366626143658,0.2913157171953473,10.0,200.0,0.951212777777778,0.2995,0.6672222222222223,0,10,7,2000,0,0,6,1,0.0,0.0,0.0,85.71428571428571,14.285714285714285,,-0.8692491113871175,0.6582499999999927,,0.2147713147724887,0.571544999056086,,-0.6352635311790746,1.686534392555002,,0.6245331546193721,0.9208719889146832,,-0.1114907130176661,1656.114273214139,,0.7676581134191288,958.1661269687644,6
21,car,0.5993051534452808,1.2057409700121753,0.0040509259259259,10.53824917764504,1210.0,2.0,,,0.26218435655426,4.0,,,1.792481250360578,,,0.1144156823099166,14.666394799843092,3.571428571428572,,,1.584962500721156,,,0.00448571662663,3.0,,,3.761574074074074,65.0,0.9709622827748404,0.152199074074074,0.6467669425393134,0,4,7,1728,0,0,0,7,0.0,0.0,0.0,0.0,100.0,1.584962500721156,,,0.0236275350923649,,,1.792481250360578,,,0.085076458045545,,,2.0,,,0.2302933116434975,,,21
22,mfeat-zernike,0.9954977488744372,3.321928094887362,0.024,,200.0,,4.370101298879665,508.902571633625,,10.0,1.794599514537336,124.19249364407266,,0.7353956813037765,88.63642941472712,,,10.0,0.7908300764747563,40.1254529217552,,-0.9914117205299372,0.07855426092,,10.0,0.0054915223686023,0.0665520027146517,10.0,200.0,0.9590269444444444,0.2705,0.6994444444444445,0,10,48,2000,0,0,47,1,0.0,0.0,0.0,97.91666666666666,2.083333333333333,,-0.4612428052581321,7.537383493435,,0.3790488783633953,3.7579900876369465,,0.444046398140002,69.881896744535,,0.7415928908678675,37.878377911282136,,1.8699835840120704,126.83265674023002,,1.2548334728305888,65.21134486568818,47
23,cmc,0.9966032608695652,1.5390345832497478,0.0067888662593346,53.274885238451205,629.0,1.8667550694041888,1.5296065513316617,32.53835709436525,0.07090633894894,4.0,1.0990139461060884,8.227244755470613,1.2208122969788784,0.2928560302339025,17.89986422267482,0.0288885574574442,41.25937202912456,3.125,0.6777315757939906,5.2928968090790125,0.380671663040156,-0.9438944908638564,3.2613713509843865,0.00258233237972,2.0,0.2564492054818927,2.3585488626874125,22.606924643584524,333.0,0.6798006519603141,0.506449422946368,0.2336054769068532,3,3,10,1473,0,0,2,8,30.0,0.0,0.0,20.0,80.0,0.6082239803272842,-0.9438944908638564,3.2613713509843865,0.00982050143438,0.2564492054818927,2.3585488626874125,1.4479885111323352,0.2928560302339025,17.899864222674818,0.03047421456026,0.6777315757939906,5.2928968090790125,1.757839343635201,1.5296065513316617,32.53835709436525,0.04013859922938,1.0990139461060884,8.227244755470613,24
24,mushroom,0.726332635725717,0.9990678968724604,0.0028311176760216,5.0393135801657,4208.0,3.030432883772633,,,0.906074977384,12.0,,,1.4092554739602103,,,0.1982547585061395,6.108305922031972,5.130434782608695,,,-0.0,,,0.0,1.0,,,48.20285573609059,3916.0,0.9976229672941662,0.0489906450024618,0.9015972799616292,5,2,23,8124,2480,2480,0,23,21.73913043478261,30.526834071885773,1.3272536552993814,0.0,100.0,0.8286618104993447,,,0.0341845204256024,,,1.467128011861462,,,0.174606545183155,,,2.053355435193742,,,0.275102254849185,,,125
